,id,id_order,product_quantity,sku,unit_price
7,1119116,299545,1,OWC0100,47.49
8,1119119,299546,1,IOT0014,18.99
9,1119120,295347,1,APP0700,72.19
11,1119126,299549,1,PAC0929,2565.99
18,1119134,299556,1,CRU0039-A,60.9
24,1119145,299561,1,PEB0015,142.49
26,1119154,299563,1,BEA0065,256.49
27,1119155,299564,1,SAT0010,18.99
33,1119181,299571,1,SYN0139,166.24
40,1119188,299578,1,LOG0191,142.49
41,1119189,299579,1,LGE0031-A,127.08
49,1119202,299586,1,GRT0456,42.99
60,1119215,299597,1,PEB0015,142.49
73,1119244,299600,1,APP0410,33.25
74,1119245,299600,1,LAC0205,246.99
75,1119247,299600,1,DLK0078,28.41
79,1119253,299608,1,ICA0079,66.49
80,1119254,299609,1,PAR0071,474.05
81,1119255,299610,1,APP0023,55.99
82,1119256,299600,1,PAC0492,4260.99
83,1119257,299610,1,APP1214,84.99
86,1119262,299600,2,BEL0229,18.99
99,1119287,299623,1,OBL0007,37.05
107,1119296,298391,1,PAC1594,2769.99
109,1119299,298391,1,APP0662,149.99
113,1119306,299634,1,SYN0146,369.54
116,1119314,299637,1,TOS0007,53.19
121,1119325,299571,1,WDT0183,151.99
122,1119326,299634,3,WDT0183,151.99
123,1119328,297809,1,IFX0016,14.24
133,1119347,299648,1,PAC1381,355.29
137,1119360,299650,1,NOK0007,65.99
139,1119363,299655,1,WAC0191,161.49
143,1119367,299655,1,WAC0040,35.14
145,1119371,299659,1,THU0013,75.99
153,1119388,299667,1,WIT0024,94.99
158,1119404,299673,1,PAC0569,168.14
159,1119405,299664,1,APP0958,1351.99
160,1119407,299674,1,PAC1296,584.24
166,1119419,299681,1,SPE0161,35.14
169,1119422,299681,1,APP0701,69.34
184,1119448,299696,1,KEN0212,18.04
190,1119470,299704,1,APP0697,12.99
195,1119490,299710,1,PHI0072,66.49
196,1119491,299710,1,PHI0079,56.04
205,1119506,299719,1,OTT0139,21.84
207,1119510,299719,1,GRT0361,18.04
209,1119513,299723,2,MAC0122,23.74
216,1119529,299696,3,SAN0112,18.99
221,1119539,299736,1,WAC0191,161.49
222,1119540,299737,1,JBL0107,94.99
228,1119547,299742,2,NEA0017,21.84
230,1119549,299744,1,APP1810,1584.99
258,1119600,299773,1,OLL0015,50.34
267,1119612,299780,1,BEL0293,15.19
280,1119629,299792,1,SYN0146,369.54
286,1119641,299802,1,TWS0049,28.49
287,1119643,299803,1,TOS0022,98.79
291,1119652,299807,1,IFX0021,18.99
292,1119653,299808,1,LAC0181,134.89
294,1119657,299811,1,SAN0103,20.89
307,1119689,299823,1,WAC0134,288.79
315,1119708,299833,1,KIN0162,75.04
326,1119724,299847,1,APP0100,33.24
329,1119728,299850,2,APP0698,14.99
333,1119733,299850,1,GRT0375,18.99
337,1119737,299858,1,LIF0095,94.99
339,1119740,299858,1,SAT0014,12.34
340,1119742,299859,1,PAC1373,470.24
345,1119756,299864,2,OWC0153-4,272.64
346,1119757,299865,1,IFX0044,43.69
347,1119761,299867,1,SAT0050,18.99
348,1119762,299868,1,FCM0007-4,227.04
349,1119766,299870,1,BLM0016,119.69
360,1119782,299867,1,PHI0076,32.29
362,1119788,299879,1,TRK0008,28.49
367,1119800,299881,1,SAN0137,49.39
371,1119809,299887,1,SPE0142,35.14
376,1119814,299891,1,OWC0186,56.99
378,1119820,299895,1,PAR0054,65.55
386,1119836,299901,1,APP1198,1986.99
392,1119846,299818,1,TPL0010,19.94
397,1119860,299910,1,WAC0090,693.49
406,1119875,299918,1,SEA0106,117.79
407,1119876,299918,1,SAN0099,42.74
424,1119914,299939,1,PHI0072,66.49
427,1119922,299944,1,SAM0074,153.89
428,1119923,299944,1,OWC0024,24.69
429,1119924,299945,2,ADN0042,71.24
431,1119928,299947,1,APP1482,549.0
433,1119933,299944,1,OWC0092,44.64
443,1119955,299962,1,PAC0133,113.99
448,1119968,299968,1,ADN0019,7.99
460,1119995,299981,1,MBI0010,16.14
462,1119997,296502,1,BEL0242,28.49
463,1120002,299984,1,APP0927,19.99
464,1120003,299973,1,LIF0097,56.99
466,1120007,296502,1,GRT0444,36.09
485,1120039,300002,1,CRU0016-2,80.74
490,1120048,300007,1,TWS0049,28.49
491,1120049,300008,1,WDT0227,59.84
497,1120057,300012,1,MOP0080,31.34
505,1120071,300021,1,LOG0191,142.49
509,1120083,300028,1,PAR0053,65.55
514,1120089,300033,1,IFX0045,28.41
517,1120097,300036,1,JBL0097,23.74
520,1120104,300033,1,TRK0009,28.49
522,1120106,300040,4,WDT0141,107.34
523,1120107,300040,1,SYN0128,365.74
526,1120126,300046,1,APP0482,35.0
531,1120139,300051,1,HTE0010,42.74
534,1120142,300054,1,PAC1873,27.54
540,1120151,300060,1,HTE0010,42.74
560,1120185,300077,1,JBL0107,94.99
565,1120192,300080,1,SNA0067,56.99
574,1120205,300085,1,OWC0085-4,86.44
594,1120232,299983,1,LGE0034,273.59
603,1120261,300109,1,PHI0072,66.49
604,1120262,300110,1,LEX0028,53.99
613,1120287,300126,1,LIF0112,61.74
616,1120291,300129,1,OWC0054,19.99
621,1120303,300123,1,IFX0024,49.99
624,1120311,300136,1,APP0697,12.99
637,1120335,300149,1,WIT0031,174.99
638,1120336,298161,1,APP0666,292.99
648,1120348,298161,1,APP1572,35.01
651,1120351,300158,1,APP1211,219.0
657,1120360,300158,2,APP1675,35.0
663,1120371,300168,1,LOG0192,149.99
669,1120378,300173,1,SAT0021,24.99
673,1120389,300173,1,MOX0030,8.99
677,1120397,300179,1,OWC0037-2,148.99
680,1120400,300179,1,OWC0007,39.99
681,1120401,300179,1,SEA0102,109.99
683,1120403,300184,1,TRA0030-A,145.77
684,1120404,300185,1,SAT0025,24.99
686,1120409,300188,1,KAN0027,99.99
687,1120410,300189,1,PAC0023,65.99
690,1120414,300188,1,NTE0012,32.9
691,1120415,300192,1,WOE0012,16.99
692,1120416,300192,1,WOE0011,16.99
693,1120419,300193,2,WDT0141,112.99
694,1120421,300192,1,PHI0061,49.9
702,1120434,300199,1,APP1778,45.0
707,1120441,300179,1,SAM0069,135.99
708,1120442,300203,1,ELG0040,29.74
709,1120443,300203,1,ELG0038,37.18
713,1120449,300207,1,SAM0073,101.99
714,1120450,300208,1,PHI0061,49.9
717,1120465,300213,1,TIG0024,34.99
718,1120466,300213,1,HTE0008,29.99
723,1120477,300218,1,APP1465,99.99
727,1120485,300223,1,OTT0093,32.99
735,1120506,300235,1,WAC0172,84.99
742,1120516,300241,1,NOM0015,49.99
746,1120522,296611,1,FCM0009-2,112.99
754,1120542,300252,1,SAN0133,49.99
755,1120543,300253,1,APP1267,1949.99
756,1120547,300254,1,APP0023,55.99
763,1120567,300262,1,LOG0217,89.9
765,1120569,300263,1,LEX0028,53.99
