,order_id,created_date,total_paid
0,241423,2017-11-06 13:10:02,136.15
1,242832,2017-12-31 17:40:03,15.76
2,243330,2017-02-16 10:59:38,84.98
3,245275,2017-06-28 11:35:37,149.0
4,245595,2017-01-21 12:52:47,112.97
6,246018,2017-02-13 23:02:57,211.95
8,247524,2018-01-09 14:21:34,167.98
9,247643,2017-05-26 11:50:35,153.54
10,250275,2017-11-19 22:34:54,54.99
11,251302,2017-05-10 12:27:33,140.99
14,253220,2017-10-04 19:37:10,1610.0
16,253307,2017-09-30 06:11:10,292.04
17,254301,2017-01-08 13:10:53,35.91
18,254341,2017-07-31 10:25:35,34.98
19,254441,2017-05-09 14:00:45,56.98
20,254816,2017-01-12 15:57:20,283.83
21,256158,2017-08-05 19:51:20,386.18
22,256679,2017-11-26 10:43:04,20.58
24,257280,2017-12-20 14:49:52,260.0
25,257847,2017-11-23 23:46:54,1367.11
26,258155,2018-01-22 18:51:50,40.76
29,259192,2017-11-09 11:15:51,195.74
31,259668,2017-10-06 22:06:58,1132.33
32,260615,2017-01-10 18:59:49,225.16
33,261289,2017-06-21 08:21:20,192.98
34,261656,2017-08-24 19:28:24,44.98
35,261978,2017-01-10 00:19:44,109.98
36,262016,2017-08-18 01:05:38,3109.57
37,262236,2017-06-05 10:02:29,122.97
38,263733,2017-02-06 13:06:34,372.98
39,263738,2017-08-16 17:05:25,80.96
40,263996,2017-02-20 09:44:55,156.98
42,265614,2017-01-16 15:40:05,147.48
43,265951,2017-01-26 12:08:46,121.46
45,265968,2017-09-04 18:32:57,470.33
46,266727,2017-01-30 15:03:51,150.02
48,267194,2017-12-19 21:22:34,75.98
50,268174,2017-02-13 22:15:52,723.69
51,268234,2017-11-24 09:33:02,84.17
56,269440,2017-01-18 19:15:00,213.98
57,272512,2018-03-04 11:35:15,114.98
59,274166,2017-01-21 12:52:28,170.99
60,274550,2017-01-09 15:17:53,118.92
61,277363,2017-01-17 23:33:59,29.99
62,277367,2017-01-11 17:07:00,179.98
65,279632,2017-02-13 19:45:18,219.67
66,279755,2017-01-08 22:25:24,2616.99
67,279891,2017-01-16 22:59:07,64.99
68,280008,2017-02-03 10:43:59,174.97
69,280867,2018-01-08 14:38:24,34.98
72,281492,2017-08-28 18:46:58,72.97
73,281497,2017-01-05 12:16:45,697.72
75,282487,2017-01-25 18:13:49,130.44
76,282776,2017-08-09 11:02:48,42.99
81,285582,2017-12-18 19:04:40,56.98
84,286974,2017-01-31 21:00:10,117.4
85,287311,2017-01-29 22:56:57,54.99
86,287733,2017-06-21 12:38:47,3385.99
89,288567,2017-07-03 23:08:38,24.97
